 2D constraint language	Przemyslaw Stpiczynski
 DASHprotocol	Rina Panigrahy
 DASHprotocol	Yannis Velegrakis
 data	Douglas Stott Parker Jr.
 data	Remco M. Dijkman
 data	ShyamSundar Rajaram
 data abstraction	Joaquim Arnaldo Martins
 data access	Vittorio Cortellessa
 data access	Vladimir Lifschitz
 data access efficiency	Jehan-Fran&ccedil;ois P&acirc;ris
 data access efficiency	Mireille Blay-Fornarino
 data access efficiency	Murali Sitaraman
 data acquisition	Alexander Wolff
 data acquisition	Alexander Zeier
 data acquisition	Dhrubajyoti Goswami
 data acquisition	Diana C. Roe
 data acquisition	Miao Song
 data acquisition	Micaela Serra
 data allocation	Marshall W. Bern
 data allocation	Michael Fink
 data allocation	Reinhard M&auml;nner
 data allocation	Rolf Ingold
 data allocation	S&eacute;bastien Tixeuil
 data analysis	Doug Lea
 data analysis	John F. Buford
 data analysis	Laure Tougne
 data analysis	Patrick Valduriez
 data analysis	Patrick van Bommel
 data analysis	Roy D. Yates
 data analysis	Roy D. Yates
 data analysis	Roy Dyckhoff
 data analysis	Shigeyoshi Tsutsui
 data analysis	Sonia M. Leach
 data analysis	Stephen Y. Chen
 data analysis	Stevan Harnad
 data analysis	Thomas L. Saaty
 data analysis and exploration	Christoph Mangold
 data analysis and exploration	Kazunori Ueda
 data analysis and exploration	Leslie Lamport
 data analysis and exploration	Tommaso Mazza
 data and control signatures	Gabriel Zachmann
 data and control signatures	Luc Devroye
 data and control signatures	Mario Schaarschmidt
 data and control signatures	Michael Sperber
 data and control signatures	Roberto Tamassia
 data approximation.	Nicola Gatti
 data approximation.	William M. Wells III
 data approximation.	Yang Richard Yang
 data availability	David G. Hendry
 data availability	Marco Ajmone Marsan
 data availability	Riccardo Martoglia
 data backgrounds	Arturas Mazeika
 data backgrounds	Charles Semple
 data backgrounds	Rachida Dssouli
 Data Blocking	Benjamin G&acirc;teau
 Data Blocking	John S. Schlipf
 data broadcast	Jehoshua Bruck
 data broadcast	Mireille Clerbout
 data broadcast	Murat Ali Bayir
 data broadcast	Reza Curtmola
 data broadcast	Sebastian Kreft
 data caches	Marko Petkovsek
 data caches	P. S. Thiagarajan
 data caches	Wendy Hall
 data caching	Laurent Pautet
 data caching	Seonah Lee
 data caching	Wolfgang Klas
 data capture	Alexandre Petrenko
 data capture	Alf Gerisch
 data capture	Gang Luo
 data capture	Hanspeter A. Mallot
 data classification	Allison Farber
 data classification	Sven de Vries
 data cleaning	Michael Fothe
 data cleaning	Roelof van Zwol
 data collection	Roy Dyckhoff
 data communication	Artur Kornilowicz
 data communication	John E. Laird
 data communication	Julia L. Lawall
 data communication	Klaas Sikkel
 data communication	Nicole Megow
 data communication	Nikola S. Nikolov
 data communication	Olga Veksler
 data communication	Peter Fankhauser
 data communication	Raja' S. Alomari
 data complexity	Alan L. Selman
 data complexity	Birger Kollmeier
 data complexity	Harry Hsieh
 data complexity	Lyudmila Mihaylova
 data compression	Aditya P. Mathur
 data compression	Aditya V. Nori
 data compression	Alexander Zelikovsky
 data compression	David Dagan Feng
 data compression	Diana McCarthy
 data compression	Jean H. Gallier
 data compression	Jean Hennebert
 data compression	Jo&atilde;o Batista S. de Oliveira
 data compression	Leon Sterling
 data compression	Louis J. Hafer
 data compression	Micah Adler
 data compression	Paolo Torroni
 data compression	S. Sudarshan
 data compression	Sa&iuml;d Assar
 data compression	Wolfgang Rosenstiel
 data compression and analysis	Fred B. Schneider
 data compression and analysis	Konstantin Korovin
 data contamination	Abby Goodrum
 data contamination	Jitendra Padhye
 data contamination	Thomas Fernique
 data copying	Andreas Deutsch
 data copying	Manuel Bodirsky
 data copying	Ovidio Salvetti
 data copying	Y. C. Tay
 Data Cube	Ekkehard K&ouml;hler
 Data Cube	Lior Rokach
 data cube schema design	Geert Deconinck
 data cube schema design	Gerrit Renker
 data cube schema design	H. James Hoover
 data cube schema design	Liang-Jie Zhang
 data cube schema design	Maria H&aring;kansson
 data cube schema design	Munindar P. Singh
 data cubes	Geert J. Heijenk
 data cubes	Gerson Suny&eacute;
 data cubes	H. Joel Trussell
 data cubes	Libby Miller
 data cubes	Maria Halkidi
 data cubes	Murali Mani
 data decomposition	Adrienne Massanari
 data decomposition	Louis Kruger
 data decomposition	Marc Moonen
 data decomposition	Matteo Sereno
 data decomposition	Paul Molitor
 data delivery	Robert Krug 0002
 data dependance speculation	John Launchbury
 data dependence	Frieder Stolzenburg
 data dependence	Kamal Lodaya
 data dependence	Ralf Laue 0002
 data dependence	Reuven Bar-Yehuda
 data dependence	Richard Mark Soley
 data dependence	Richard N. Taylor
 data dependence analysis	Laurent Philippe 0002
 data dependence analysis	Mark Bernstein
 data dependence analysis	Marko Rosenm&uuml;ller
 data dependence analysis	P. Venkat Rangan
 data dependence analysis	Peter Grogono
 data dependence analysis	Prabhakar Raghavan
 data dependence analysis	Seong-Whan Lee
 data dependence analysis	Wolfgang Kreutzer
 data dependence relations	G&uuml;nter Niemeyer
 data dependence relations	Linus Torvalds
 data dependence speculation	Aravind Srinivasan
 data dependence speculation	John Leslie King
 data dependencies	Ellen Yi-Luen Do
 data dependencies	Francesco Bonchi
 data dependencies	Michael R. Lyu
 data dependencies	Paul Francis
 data digitization	Alexander Zien
 data digitization	Diana Roo&szlig;
 data digitization	Micah Beck
 data dissemination	Jamal Bentahar
 data dissemination	Jelena Kovacevic
 data dissemination	Mireille Ducass&eacute;
 data dissemination	Mladen Berekovic
 data dissemination	Murat Askar
 data dissemination	Philip Resnik
 data dissemination	Vittorio Zaccaria
 Data Distribution	Alberto Su&aacute;rez 0002
 Data Distribution	Barbara Russo
 Data Distribution	G&uuml;nter Preuner
 Data Distribution	Hsueh-I Lu
 data distribution	Jeffrey C. Mogul
 data distribution	John E. Savage
 data distribution	Jonas S. Karlsson
 data distribution	Karen Renaud
 Data Distribution	Kjell Lemstr&ouml;m
 Data Distribution	Lincoln Stein
 data distribution	Marshini Chetty
 Data Distribution	Maurizio Martelli
 data distribution	Michael Fink 0002
 Data Distribution	Monica Divitini
 data distribution	Olgica Milenkovic
 data distribution	Peter M. Fenwick
 data distribution	Rajankumar Bhatt
 data distribution	Ralf Klessen
 data distribution	Reinhard Oppermann
 data distribution	Rolf K&auml;ckenhoff
 data distribution	S&eacute;bastien Valette
 Data Distribution Parallelizing Compiler	Partha S. Roop
 Data Distribution Parallelizing Compiler	Roger D. Chamberlain
 Data Distribution Parallelizing Compiler	Yong Rui
 data distributions	Ekkehard W. Sachs
 data distributions	Martin Raubal
 data distributions	Robert Grimm
 data distributions	Tommi A. Junttila
 data distributions	Volker Blanz
 data encryption standard	Claus Brabrand
 data encryption standard	Shahram Latifi
 data exchange	Brad L. Hutchings
 data exchange	Mark J. Clement
 data exchange	Peter Norvig
 data exchange	Silke Eckstein
 data extraction	Amy Bruckman
 data extraction	Reinhard K&ouml;hler
 data flow analysis	Hj&aacute;lmtyr Hafsteinsson
 data flow analysis	Li-Wei Kang
 Data Flow Analysis	Margo I. Seltzer
 Data Flow Analysis	Michael Luby
 data flow analysis	Vanessa Teague
 data flow analysis	Vipin Kumar
 data flow testing	Malcolm Munro
 data flow testing	Maura Cerioli
 data flows	Fr&eacute;d&eacute;ric Pennerath
 data flows	Shengrui Wang
 data flows	Stephen F. Bush
 data forwarding	Benjamin G. Klein
 data forwarding	Feniosky Pe&ntilde;a-Mora
 data forwarding model	Robert L. Constable
 data fusion	Michal Malafiejski
 data graphic design	Shin Nakajima
 data graphic design	Swapna S. Gokhale
 data grids	Jean C. Walrand
 data grids	Paul V. Mockapetris
 data grids	Peter Schartner
 data handling	David H. Lorenz
 data handling	Ingo Berentzen
 data handling	Josef V. Psutka
 data handling	Karthik Sridharan
 data handling	Kimmo Varpaaniemi
 data handling	Mario Jeckle
 data handling	Martin Reuter
 data handling	Mehul A. Shah
 data handling	Mihalis Yannakakis
 data handling	Naixue Xiong
 data handling	R. Nigel Horspool
 data handling	Raffaella Gentilini
 data handling	Richard J. LeBlanc
 data handling	Sebastiano B. Serpico
 Data hoarding	Anthony Tomasic
 Data hoarding	Armen S. Asratian
 Data hoarding	Stewart M. Clamen
 Data Imprecision	Andreas S. Andreou
 Data Imprecision	Andreas Steininger
 Data Imprecision	John K. Antonio
 Data Imprecision	Joost Breuker
 Data Imprecision	Randal C. Burns
 Data Imprecision	Randall H. Trigg
 Data Imprecision	Tsuhan Chen
 Data Imprecision	Uwe Roth
 data inaccessibility	Jeffrey C. Schlimmer
 data inaccessibility	Peter M. Fischer
 data inaccessibility	Ralf Klinkenberg
 data integration	Adam Chlipala
 data integration	Amy Greenwald
 data integration	Neena R. Kaushik
 data integration	Reinhard Kirchner
 data integration	Sheila Kinsella
 data integrity	Adnan Darwiche
 data integrity	Adnan H. Yahya
 data integrity	Alessio Guglielmi
 data integrity	Christine Bourjot
 data integrity	Gilles Venturini
 data integrity	Jean Henrard
 data integrity	Jean Ichbiah
 data integrity	Jos&eacute; Fernando Rodrigues Jr.
 data integrity	Lang Li
 data integrity	Mark S. Hancock
 data integrity	Peter E. Strazdins
 data integrity	Robert Bruce Findler
 data integrity	Roland Kaschek
 data interchange format	Claude Frasson
 data interchange format	Giorgio C. Buttazzo
 data interchange format	Jun Sun 0003
 data interchange format	Meinolf Sellmann
 data interface	Graham Horton
 data interface	Thomas T. Tran
 data layouts.	Klaus Schneider
 data layouts.	Therani Madhusudan
 data layouts.	Tom Head
 data level shape descriptions	Guido Wirtz
 data level shape descriptions	Venugopal V. Veeravalli
 data locality	Fabio Porto
 data locality	Jean-S&eacute;bastien Gay
 data locality	Kevin Chen-Chuan Chang
 data locality	Luciano Pandolfi
 data locality	Peretz Shoval
 data locality	Ra&uacute;l Rojas
 Data Locality	Robert P. Futrelle
 Data Locality	Stephen R. Bourne
 data locality	Yike Guo
 data locality constraint relaxation	Karthikeyan Ramasamy
 data locality constraint relaxation	Martin Riemer
 data locality constraint relaxation	Mihhail Matskin
 data locality constraint relaxation	Nam Huyn
 data management	Hans van der Meij
 data management	Leon Moonen
 Data Management	Mary L. Bailey
 data management	Michael J. Schulte
 Data Management	Munindar P. Singh
 data management	Nadav Har'El
 data management	Sergej Sizov
 data management.	Ian S. Burnett
 data management.	Karen D. Devine
 data management.	Ovidio Salvetti
 data manipulation	Yves Ledru
 data manipulation compiler	Ingo Brunkhorst
 data manipulation compiler	Jose-Norberto Maz&oacute;n
 data manipulation compiler	Kimon P. Valavanis
 data manipulation compiler	R. Ravi
 data manipulation compiler	Raffaello D'Andrea
 data manipulation compiler	Richard J. Lipton
 Data mining	Bella Bose
 data mining	Bernhard Sendhoff
 data mining	Bernhard Steffen
 data mining	C&eacute;line Rouveirol
 data mining	Christopher C. Aycock
 data mining	David A. Grossman
 data mining	Dennis Tsichritzis
 Data Mining	El Mostapha Aboulhamid
 data mining	Erik Poll
 data mining	Francesco M. Donini
 data mining	Guangyu Chen
 data mining	Guido Araujo
 data mining	H. Peter Gumm
 data mining	Haruo Takemura
 data mining	Hermann A. Maurer
 data mining	Jan Johannsen
 data mining	Jason Cong
 data mining	Jean-Jacques L&eacute;vy
 data mining	Jean-Michel Fourneau
 data mining	Jeffrey V. Nickerson
 data mining	Juan Pablo Soto
 data mining	Julie A. Kientz
 data mining	Koen Langendoen
 data mining	Koichi Kise
 Data Mining	Lisa Covi
 data mining	M. Arief
 data mining	Madhusudhan Talluri
 data mining	Maozhen Li
 data mining	Marcello Cinque
 data mining	Mark Nicholson
 data mining	Markus N&uuml;ttgens
 data mining	Martin E. Hellman
 data mining	Melba M. Crawford
 data mining	Michael G. McQuinn
 data mining	Michael J. Assels
 data mining	Michael Malisoff
 data mining	Michele Loreti
 data mining	Mike Jackson 0003
 data mining	Mladen Berekovic
 data mining	Mohamed Deriche
 data mining	Paul Nieuwenhuysen
 data mining	Paulo Romero Martins Maciel
 data mining	Peter Grzybek
 data mining	Pierre Wolper
 data mining	R&eacute;my Malgouyres
 data mining	R&uuml;diger Lincke
 data mining	R&uuml;diger Loos
 data mining	Richard E. Ladner
 data mining	Richard T. Vaughan
 data mining	Rodolphe Sepulchre
 data mining	Ron Barber
 data mining	Susan Finger
 data mining	Tamal K. Dey
 data mining	Tamim Asfour
 data mining	Toby J. Teorey
 data mining	Tom&aacute;s Feder
 data mining	Vera Hollink
 data mining	Weihua Zhuang
 data mining	Yossi Matias
 data mining.	Nicholas Ayache
 Data Mining.	Ralph Grishman
 Data Mining.	Roberto Verdone
 Data Mining.	Sabine Timpf
 data modeling	Deepak B. Phatak
 data modeling	Remzi H. Arpaci-Dusseau
 data models	Andreas Heuer
 data models	Eric Dubois
 data objects	Keith D. Cooper
 data operations	Alan L. Tharp
 data operations	Birger Larsen
 data operations	Harry R. Lewis
 data operations	M&aacute;rcia R. Cerioli
 data parallel programming	Benjamin Kuipers
 data parallel programming	Christoph Meinel
 data parallel programming	Tiffany C. Veinot
 data parallelism	Arbee L. P. Chen
 data parallelism	Christian Prehofer
 data parallelism	Daniel M. Zimmerman
 data parallelism	Kaushik Roy
 data parallelism	Martin Warnke
 data parallelism	Philip H. S. Torr
 data partitioning	Alan P. Sexton
 data partitioning	Alfred Kobsa
 data partitioning	Alonzo Church
 data partitioning	Christian S. Collberg
 data partitioning	Igor Boglaev
 data partitioning	Jeremy Edmonds
 data partitioning	Joseph Sifakis
 data partitioning	Leonid B. Sokolinsky
 data partitioning	Margaret M. Wiecek
 data partitioning	Michael D. Schroeder
 data partitioning	Michel X. Goemans
 data partitioning	Nicholas C. Wormald
 data partitioning	Nick Cercone
 data partitioning	Paul R. McJones
 data partitioning	Philip Leith
 data partitioning	Wei Chen 0013
 data prefetching technique	Martin Hoefer
 data preprocessing	Luc Berthouze
 data preprocessing	Mong-Li Lee
 data preprocessing	Thomas Panas
 data pre-processing	Christian B&ouml;hm
 data pre-processing	Don R. Swanson
 data pre-processing	Mila Nikolova
 data privacy	Chin-Wan Chung
 data privacy	Lu Yan
 data privacy	Otman A. Basir
 data processing blocks	Joe D. Warren
 data processing blocks	Sorina Dumitrescu
 data protection	Brian W. Kernighan
 data protection	Jeremy Spinrad
 data protection	Mao Lin Huang
 data protection	Philip S. Yu
 data quality	Bruno Courcelle
 data quality	Patrick Saint-Dizier
 data quality	Stephen J. Garland
 data quality	Zo&eacute; Lacroix
 data races	Dmitri Loguinov
 data races	Jorge Urrutia
 data races	Tobias Heimann
 data recovery	Vivek R. Narasayya
 data recovery	Vladimir Pavlovic
 data redistribution	Benjamin Martin 0002
 data redistribution	Christoph Menke
 data redistribution	Marc Moreno Maza
 data redistribution	Matteo Sonza Reorda
 data redistribution	Tiko Kameda
 data redistributions	Karuna Hadeli
 data redistributions	Martin S&uuml;&szlig;kraut
 data redistributions	Mihir Bellare
 data redistributions	Namrata Vaswani
 data reduction	Dawson R. Engler
 data reduction	Malay Ghosh
 data relocation	Andreas Dieberger
 data relocation	Manuel Bronstein
 data relocation	Owen L. Astrachan
 data relocation	Yaacov Ritov
 Data Replication	Jacob Engwerda
 Data Replication	Jonathan R. M. Hosking
 Data Replication	Yun Mao
 data replication protocols	Gilles Villard
 data replication protocols	Jos&eacute; Ferreira de Rezende
 data replication protocols	Robert Cailliau
 data replication protocols	Roland Meyer
 data requirements	Anat Bremler-Barr
 data requirements	Ming-Jun Lai
 data requirements	Paul E. Utgoff
 data requirements	Petra Ludewig
 data retiming	Klaus F. X. Mayer
 data retiming	Lars Bernard
 data retiming	Peter Marwedel
 data security	Bruno Cr&eacute;milleux
 data security	Patrick Sol&eacute;
 data security	Stephen J. Willson
 data security	Zoe Doulgeri
 data selection	Allison L. Powell
 data selection	Sven Groppe
 data services	Brian Whitworth
 data services	Jeroen Breebaart
 data services	Maozhen Li
 data services	Philip W. Dart
 data sets	Ellis Horowitz
 data sets	Francesco Calimeri
 data sets	Michael Rabinovich
 data sets	Paul G. Spirakis
 data sharing	Colin Cooper
 data sharing	Engin Kirda
 data sharing	Nathalie Denos
 data sharing	Niina P&auml;ivinen
 data sharing	Nuno Am&aacute;lio
 data sharing	Vivek Sarkar
 data sharing	Vladimir Pestov
 data shipping	Karam S. Chatha
 data shipping	Kyriakos Mouratidis
 data shipping	Yves Caseau
 data slice abstraction	Martin Graham
 data slice abstraction	Michele Lanza
 data slices	Martin Grohe
 data slices	Michele Loreti
 data sources	Jan Paredaens
 data sources	Laura Chiticariu
 data sources	Mario Albrecht
 data sources	Shmuel Katz
 data space architecture	Carmel Domshlak
 data space architecture	Marios Mavronicolas
 data space coordinates	Giuseppe Castagna
 data space coordinates	Josiane Zerubia
 data space coordinates	Michael Malisoff
 data specialization	Binay K. Bhattacharya
 data specialization	Esteban Zim&aacute;nyi
 data specialization	R. Nigel Horspool
 data specialization	Ra&uacute;l Rojas
 data specialization	Sudhir P. Mudur
 data speculation	Arend Rensink
 data speculation	Jitendra Padhye
 data speculation	John Lions
 data speculation	Kelly A. Shaw
 data speculation	Michael Franz
 data speculation	Robert Cailliau
 data speculation	Uday S. Reddy
 data staging	Hans van Halteren
 data staging	Jiong Guo
 data staging	Leon Peeters
 data staging	Matthias Jantzen
 data staging	Michael J. Taylor
 data staging	Nader H. Bshouty
 data staging	Sergey Brin
 data staging	Shiwen Mao
 data stream	Florian Mansmann
 data stream	Jos C. M. Baeten
 data stream	Martijn Hendriks
 data structure	Jean-Bernard Stefani
 data structure	Johannes Uhlmann
 data structure	Karthikeyan Ramasamy
 data structure	Samir Siksek
 data structure	Sandra Zilles
 data structure	Vipin Chaudhary
 data structures	Beate Kuhnt
 data structures	Christian H. Stork
 data structures	Cong Yu
 data structures	Fl&aacute;vio Rech Wagner
 data structures	Helmuth Partsch
 data structures	Jacques D&eacute;sarm&eacute;nien
 data structures	Johel Mit&eacute;ran
 data structures	Karim Sehaba
 data structures	Karuna Hadeli
 data structures	Kerttu Pollari-Malmi
 data structures	Keshab K. Parhi
 data structures	Key Pousttchi
 data structures	Khaled Bashir Shaban
 data structures	Laurent Vigneron
 data structures	Lauri Hella
 data structures	Lawrence A. Rowe
 data structures	Lawrence B. Holder
 data structures	Manfred Reichert
 data structures	Maria E. Orlowska
 data structures	Mark B. Sandler
 data structures	Mark B. Sandler
 data structures	Mark Bernstein
 data structures	Mark H. Overmars
 data structures	Mark Harman
 data structures	Massimiliano Di Penta
 data structures	Matthias Bender
 data structures	Matthias Blume
 data structures	Mirjam Wester
 data structures	Neil C. Rowe
 data structures	Patricia Wright
 data structures	Patricio D. Simari
 data structures	Patrick Saint-Dizier
 data structures	Radha Jagadeesan
 data structures	Riccardo Poli
 data structures	Riccardo Pucella
 data structures	Robert Wilensky
 data structures	Sariel Har-Peled
 data structures	Seniha Esen Yuksel
 data structures	Shariq Rizvi
 data structures	Susana Pajares Tosca
 data structures	Tobias Nipkow
 data structures	Vyacheslav Petukhin
 data structures	Werner Sandmann
 data structures	Xiaowei Yang
 data structures	Yusuf Pisan
 data structures	Yutaka Matsuo
 Data Structures.	Andreas Beckmann
 Data Structures.	Jennifer Pittman
 Data Structures.	Sophie Tison
 data synchronization	Anthony Watkinson
 data synchronization	Armin B. Cremers
 data synchronization	Stewart Tansley
 data temporal consistency	Langford B. White
 data temporal consistency	Mark S. Johnstone
 data tiles	Afonso Ferreira
 data tiles	Louis Monier
 data tiles	Louis Perrochon
 data tiles	Rajasekhar Inkulu
 data tokens	Martin H&uuml;hne
 data tokens	Michele Mancioppi
 data traffic	Laura Diosan
 data traffic	Mario Botsch
 data transfer	David H. Wolpert
 data transfer	Eric Rosen
 data transfer	Levent Burak Kara
 data transfer	Mario Lauria
 data transfer	Meinard M&uuml;ller
 data transfer	Orr Dunkelman
 data transfer	Sebastiano Battiato
 data transfer	Yves Lesp&eacute;rance
 data transfer throughput	Fernando Rubio
 data transfer throughput	Guo-Zheng Li
 data transformation	Liane Margarida Rockenbach Tarouco
 data transformation	Michael VanHilst
 data transformation	Mustafizur Rahman 0002
 data transformation	Takehiro Tokuda
 data types	Adnan Yazici
 data types	Alan L. Yuille
 data types	Birgit Jenner
 data types	Harry S. Delugach
 data types	Jean Monnerat
 data types	M&aacute;ria Bielikov&aacute;
 data types	Manish Anand
 data types	Matthias Korch
 data types	Ning Zhong 0002
 data types	Pramod Kumar Meher
 data types	Sami Ayyorgun
 Data Update.	Marina Meila
 Data Update.	Michele Boreale
 Data Update.	Nicolas Pasquier
 data value reuse	Ari Freund
 data value reuse	Jean Henrard
 data value speculation	John M. Boyer
 data visualisation	Alper Tugay Mizrak
 data visualisation	Bernhard Neumair
 data visualisation	Bo Han
 data visualisation	James R. Cordy
 data visualisation	Jianping Fan 0002
 data visualisation	Lin Qiao
 data visualisation	Luc Devroye
 data visualisation	Luc Jaulin
 data visualisation	Mads Nyg&aring;rd
 data visualisation	Maurizio Naldi
 data visualisation	Michael I. Miller
 data visualisation	Michel Herbin
 data visualisation	Myra Spiliopoulou
 data visualisation	Peter F. Driessen
 data visualisation	Radhia Cousot
 data visualisation	Rafael Camps
 data visualisation	Reza Azarderakhsh
 data visualisation	Sarit Kraus
 data visualisation	Simone Diniz Junqueira Barbosa
 data visualisation	Sudarshan S. Chawathe
 data visualisation	Ulf Schellbach
 data visualisation	Wilhelm Barth
 data visualization	Deepak Ganesan
 data visualization	Eric C. Lin
 data visualization	James R. Hamilton
 data visualization	Jan Zd&aacute;rek
 data visualization	Lin X. Cai
 data visualization	Peter F. Elzer
 data visualization	Rafael del Vado V&iacute;rseda
 data visualization	Ren&eacute; Bekker
 data visualization	Reza Curtmola
 data visualization	Tobias Friedrich
 data visualization	Usman Roshan
 data visualization	Wojciech Cellary
 data warehouse	Amitabh Sinha
 data warehouse	C&eacute;sar Fern&aacute;ndez Peris
 data warehouse	Eric Breimer
 data warehouse	George Havas
 data warehouse	Jean-Michel Moreau
 data warehouse	Michael G. Pecht
 data warehouse	Michele Bugliesi
 data warehouse	Pierfrancesco Foglia
 data warehouse	Pierre-Alexandre Bliman
 data warehouse	Refael Hassin
 data warehouse	Ruimin Shen
 data warehouse	Toby Walsh
 data warehouse	Ugur &Ccedil;etintemel
 data warehouses	Arvind
 data warehouses	Chaomei Chen
 data warehouses	D. Ross Jeffery
 data warehouses	Francesco Pappalardo
 data warehouses	Ingrid Zukerman
 data warehouses	Jules Vleugels
 data warehouses	Michael J. Taylor
 data warehouses	Michele Colajanni
 data warehouses	Nadir Belkhiter
 data warehouses	Werner R&ouml;misch
 data warehousing	Michael J. Assels
 data warehousing	Patrick Vanouplines
 data warehousing	Susan H. Rodger
 data/real-time traffic	Klara A. Weiand
 data/real-time traffic	Nicole Schweikardt
 data/real-time traffic	Nikolaos G. Bourbakis
 database	Altigran Soares da Silva
 database	Anat Bremler-Barr
 database	Andreas W. Neumann
 Database	Benjamin G. Zorn
 Database	Hans Burkhardt
 database	Heloisa Vieira da Rocha
 database	Jianping Pan
 Database	John Seely Brown
 database	Luc J. Van Gool
 database	Mauro Andreolini
 database	Michael Matthies
 Database	Michael R. Genesereth
 database	Nils Klarlund
 database	Sophie Tison
 database	Sven Tomforde
 Database	Syed Suhaib
 database	T. C. Hu
 Database	Teerakiat Kerdcharoen
 database	Ulrich Dempwolff
 database	Wolfgang Dahmen
 database access	Rob Nederpelt
 database applications	Florian Martin
 database applications	Jos&eacute; Antonio Vila Sobrino
 database applications	Theo P. van der Weide
 Database back-end.	Jessie Dedecker
 Database back-end.	John E. Laird
 Database back-end.	Michele Flammini
 database browsing	John S. Schlipf
 database browsing	Karl Reiner Lang
 database browsing	Rida A. Bazzi
 database browsing	Steffen Thiel
 database browsing	Valeriy Naumov
 database catalog	Daniel Olmedilla
 database catalog	Luigi Barone
 database catalog	Michel Beigbeder
 database catalog	Walaa Hamouda
 database design	Blair MacIntyre
 database design	James Bailey
 database design	Julia Hirschberg
 database design	Kai Pastor
 database design	Kim Potter Kihlstrom
 database design	Knut Reinert
 database design	Kristian Torp
 database design	Lars Engebretsen
 database design	Li-C. Wang
 database design	Michel Cosnard
 database design	Rob Nederpelt
 database design	Stamatis Vassiliadis
 database evaluation	John A. Stankovic
 database evaluation	Leandro Soares Indrusiak
 database evaluation	Thomas Dandekar
 database index	Jean-Pierre Chevallet
 database index	Sebastian M&ouml;ller
 database index	Walter Christian Kammergruber
 database integration	Matthias Jarke
 database management system	Mehmet H. G&ouml;ker
 database management system	Milind M. Buddhikot
 database management system	Pat Hanrahan
 database management system	Rainer Spurzem
 database management system	Rakesh M. Verma
 database management system	Yusuf Pisan
 database management systems	Jutta Huhse
 database management systems	Russell Impagliazzo
 database management systems	Stefan Biffl
 database management systems	Xiaoming Liu 0002
 database management systems	Yaakov HaCohen-Kerner
 database objects	Khaled Ben Letaief
 database objects	Laurie J. Hendren
 database operations	Kevin Chen-Chuan Chang
 database operations	Lap Chi Lau
 database operations	Laurent Viennot
 database operations	Mark S. Miller
 database operations	Shin'ichi Konomi
 database operations	Thomas Stiefmeier
 database optimization	Maria Bras-Amor&oacute;s
 database optimization	Udo Mayer
 database optimization	Ulf Nilsson
 database performance.	Christiane Taras
 database performance.	Mark Grechanik
 database performance.	Torsten Suel
 database programming language implementations	Khaled Rasheed
 database programming language implementations	Laurie J. Heyer
 database queries	Alun D. Preece
 database queries	Jiantao Zhou
 database queries	Luc Jaulin
 database queries	Mauro Caporuscio
 database query interface	Alissa Nicole Antle
 database query interface	Avishai Wool
 database query interface	Paul M. B. Vit&aacute;nyi
 database query interface	Shigang Chen
 database rule processing	Mark Gahegan
 database rule processing	Md. Shamsul Alam
 database rule processing	Ronitt Rubinfeld
 database schema design	Ke Xu
 database schema design	Seymour Ginsburg
 database schema design	Xiaohui Xue
 database servers	Vivi Nastase
 database servers	Vladimir Shikhman
 database sites	Florian Matthes
 database sites	Jos&eacute; Creissac Campos
 database sites	Theo Ungerer
 Database storage	Huw Evans
 Database storage	Jennie J. Gallimore
 Database storage	Martin Schaaf
 Database storage	Michael Joyce
 Database storage	Nan Zhang 0002
 Database storage	Seif Haridi
 Database storage	Yann-Ga&euml;l Gu&eacute;h&eacute;neuc
 database systems	Larissa Meinicke
 database systems	Mario Jeckle
 database systems	Risto Miikkulainen
 database systems	Robert F. Lax
 database systems	Roy Gr&oslash;nmo
 database theory	Daniel Ort&iacute;z Morales
 database theory	Gilles Z&eacute;mor
 database theory	Jos&eacute; Garc&iacute;a Rodr&iacute;guez
 database theory	Kevin D. Seppi
 database theory	Larry A. Rendell
 database theory	Luigi Laura
 database theory	Luigi Liquori
 database theory	Mark S. Nixon
 database theory	Michel Bidoit
 database theory	Michel C. A. Klein
 database theory	Rob Pike
 database theory	Robert Cartwright
 database theory	Roland Parviainen
 database theory	Waldemar Celes Filho
 database transactions	Jeffrey D. Ullman
 database trigger processing	Mark Grechanik
 database trigger processing	Megan Conklin
 database trigger processing	Ronny Wichers Schreur
 database workload	Jutta Willamowski
 database workload	Ruth Aylett
 database workload	Stefan Boettcher
 database workload	Xiaoming Liu 0003
 database workload	Yaakov L. Varol
 database workloads	Georges-Pierre Bonneau
 database workloads	Jan Peters
 database workloads	Mario Lauria
 database workloads	Nevin Heintze
 database-design	Amnon Ta-Shma
 database-design	Oliviero Stock
 database-design	Susan Horwitz
 database-design	Ulrich Zukowski
 database-design	Wolfram Burgard
 databases	Alberto Lluch-Lafuente
 databases	Baruch Awerbuch
 databases	Benjamin Kuipers
 databases	Daniele Theseider Dupr&eacute;
 databases	Fran&ccedil;ois Jacquenet
 databases	James Abello
 databases	Krishnaprasad Thirunarayan
 databases	Kyumars Sheykh Esmaili
 databases	Laurens van der Maaten
 databases	Marcin Bienkowski
 databases	Pedro Pereira Rodrigues
 databases	Robert B. Ross
 databases	Romain Robbes
 databases	Stan Sclaroff
 databases	Stephen F. Weiss
 databases	W. Scott Spangler
 data-consistency constraints	Almudena Konrad
 data-consistency constraints	Walter Daelemans
